Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,cat_1,cat_1_4,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps,Gap_size
26,27,07-Feb-21,12-Feb-21,simplelong_27_000_9,0,3,10,14,18,8,6,8,N/A,N/A,26.94915254,27.06086957,2.5512774,2.521100215,0.057542563,0.088778921,n,
26,27,07-Feb-21,12-Feb-21,simplelong_27_095_9,0.95,5,9,14,10,6,9,8,N,P,26.99152542,27.02375,2.572689446,2.634687969,0.902200213,0.933988945,n,
26,27,07-Feb-21,12-Feb-21,simplelong_27_095_rev_9,0.95,6,22,20,28,8,8,11,P,N,26.95508475,26.814,2.600939917,2.624092724,0.914829609,0.907751744,n,
27,23,14-Feb-21,19-Feb-21,simplelong_23_095_rev_3,0.95,3,36,34,31,6,6,6,P,P,22.93583333,22.81304348,2.499707406,2.511732063,0.939907458,1,n,
27,23,14-Feb-21,19-Feb-21,simplelong_23_000_3,0,5,39,40,42,7,7,6,N/A,N/A,22.95,22.80128205,2.480004066,2.41609826,0.013816778,0.072075886,n,
27,23,14-Feb-21,19-Feb-21,simplelong_23_095_3,0.95,6,43,45,41,6,6,6,N,N,22.96833333,23.01978022,2.517834982,2.650250293,0.930729685,1,n,
29,23,28-Feb-21,04-Mar-21,simplelong_23_000_4,0,3,48,38,24,6,8,6,N/A,N/A,22.94876033,22.45405405,2.471204689,2.466886962,0.039626964,0.215404728,n,
29,23,28-Feb-21,04-Mar-21,simplelong_23_095_4,0.95,5,30,25,27,6,5,6,P,N,22.96115702,22.87037037,2.499445669,2.59091897,0.949092219,0.989641694,n,
29,23,28-Feb-21,04-Mar-21,simplelong_23_095_rev_4,0.95,6,40,23,21,5,6,6,N,P,22.96528926,22.88282828,2.499090193,2.48234749,0.951190974,0.90717283,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_18,0,2,,,,7,8,7,N/A,N/A,26.94083333,26.87,2.583902847,2.56913156,-0.007734958,0.008885457,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_5,0.95,3,,,,7,8,7,P,P,26.92916667,26.83833333,2.581784798,2.581517479,0.911240673,0.916016012,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095rev_5,0.95,4,3,9,6,6,6,6,N,N,26.965,26.87583333,2.567791779,2.56626452,0.873764263,0.878536416,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_19,0,5,13,14,12,9,10,12,N/A,N/A,26.93083333,26.87583333,2.576389103,2.533572753,0.0101303,0.024362232,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_6,0.95,6,12,19,8,6,7,9,P,P,26.92333333,26.83583333,2.570738158,2.567272883,0.908693991,0.910659681,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_000_21,0,2,,,,12,11,16,N/A,N/A,26.94545455,26.88181818,2.573292314,2.550686182,-0.002750626,0.006485431,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095_9,0.95,3,,,,11,15,13,P,N,26.94297521,26.84628099,2.569624695,2.574070749,0.9003611,0.904067791,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095rev_9,0.95,4,15,8,18,13,12,11,N,P,26.94297521,26.8553719,2.569624695,2.567779534,0.876702517,0.879847072,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095_10,0.95,5,10,12,19,14,15,12,N,P,26.93719008,26.86115702,2.569796757,2.571846674,0.878651658,0.879905351,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095rev_10,0.95,6,18,25,21,11,11,15,P,N,26.93719008,26.85041322,2.569796757,2.566713981,0.899661174,0.90533367,n,
